Feature,Value,Model,test_subjects
wrist_jerk_mad,0.028599422684020843,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_max,0.027166312318706795,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_med,0.026018544419546142,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_std,0.02507468799578015,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_min,0.024862723045054866,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_rms,0.02480152213118799,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_min,0.023366684423687355,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_std,0.023354568619535488,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_mean,0.0230120175892231,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_mad,0.021393703838018772,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_perc25,0.021238929626318348,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_rms,0.021228156633284777,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_med,0.020942861348608968,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_std,0.020913479310165975,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_min,0.02065191094672461,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_perc75,0.020524624469220543,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_rms,0.020300380238640794,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_perc75,0.020143460336425154,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_med,0.01955203542490019,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_min,0.019317893667165634,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_mean,0.019111046392072856,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_max,0.01888342910192419,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_max,0.018006514289758455,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_perc75,0.01798444563960925,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_max,0.017972148871455124,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_perc25,0.017955657218266485,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_mad,0.01784702840956603,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_perc25,0.01774841861063173,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_rms,0.01774401157690452,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_perc75,0.017521065471692743,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_mean,0.01709934348826519,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_mean,0.016914268272617574,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_perc75,0.01670292320992366,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_min,0.016633195823672918,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_med,0.01640344133230134,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_rms,0.01635046295772041,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_std,0.016185295511308522,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_mean,0.016164172579466254,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_mad,0.015588334121716006,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_mad,0.015438180733189099,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_rms,0.01534789406962028,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_max,0.015272768333191942,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_perc25,0.01523200837340781,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_std,0.015071774516384378,ExtraTreesClassifier,"(2, 3, 6)"
trunk_jerk_mad,0.01465558837839544,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_med,0.01408479687388496,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_acc_std,0.013900659688873784,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_perc25,0.013609911660895093,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_max,0.013296878167653021,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_mean,0.013097610001510312,ExtraTreesClassifier,"(2, 3, 6)"
trunk_acc_perc25,0.013021660259304018,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_perc75,0.012494084835088912,ExtraTreesClassifier,"(2, 3, 6)"
wrist_acc_length,0.012093291508211994,ExtraTreesClassifier,"(2, 3, 6)"
wrist_jerk_med,0.01147023279872842,ExtraTreesClassifier,"(2, 3, 6)"
upperarm_jerk_min,0.010633537856570745,ExtraTreesClassifier,"(2, 3, 6)"
error,0.0,LinearDiscriminantAnalysis,"(2, 3, 6)"
wrist_acc_max,0.08,AdaBoostClassifier,"(2, 3, 6)"
trunk_jerk_min,0.08,AdaBoostClassifier,"(2, 3, 6)"
upperarm_jerk_perc75,0.06,AdaBoostClassifier,"(2, 3, 6)"
trunk_acc_max,0.06,AdaBoostClassifier,"(2, 3, 6)"
wrist_jerk_mad,0.06,AdaBoostClassifier,"(2, 3, 6)"
trunk_jerk_perc75,0.06,AdaBoostClassifier,"(2, 3, 6)"
wrist_acc_min,0.06,AdaBoostClassifier,"(2, 3, 6)"
upperarm_jerk_rms,0.04,AdaBoostClassifier,"(2, 3, 6)"
trunk_jerk_max,0.04,AdaBoostClassifier,"(2, 3, 6)"
upperarm_jerk_perc25,0.04,AdaBoostClassifier,"(2, 3, 6)"
upperarm_acc_rms,0.04,AdaBoostClassifier,"(2, 3, 6)"
trunk_acc_min,0.04,AdaBoostClassifier,"(2, 3, 6)"
wrist_acc_med,0.04,AdaBoostClassifier,"(2, 3, 6)"
trunk_jerk_perc25,0.04,AdaBoostClassifier,"(2, 3, 6)"
upperarm_acc_med,0.04,AdaBoostClassifier,"(2, 3, 6)"
upperarm_jerk_max,0.04,AdaBoostClassifier,"(2, 3, 6)"
wrist_jerk_max,0.02,AdaBoostClassifier,"(2, 3, 6)"
wrist_acc_mean,0.02,AdaBoostClassifier,"(2, 3, 6)"
upperarm_acc_perc75,0.02,AdaBoostClassifier,"(2, 3, 6)"
wrist_acc_perc75,0.02,AdaBoostClassifier,"(2, 3, 6)"
wrist_acc_std,0.02,AdaBoostClassifier,"(2, 3, 6)"
trunk_acc_mad,0.02,AdaBoostClassifier,"(2, 3, 6)"
wrist_jerk_rms,0.02,AdaBoostClassifier,"(2, 3, 6)"
trunk_jerk_rms,0.02,AdaBoostClassifier,"(2, 3, 6)"
upperarm_acc_mad,0.02,AdaBoostClassifier,"(2, 3, 6)"
upperarm_acc_mean,0.0,AdaBoostClassifier,"(2, 3, 6)"
upperarm_jerk_min,0.0,AdaBoostClassifier,"(2, 3, 6)"
upperarm_acc_min,0.0,AdaBoostClassifier,"(2, 3, 6)"
upperarm_acc_std,0.0,AdaBoostClassifier,"(2, 3, 6)"
upperarm_jerk_mad,0.0,AdaBoostClassifier,"(2, 3, 6)"
upperarm_jerk_med,0.0,AdaBoostClassifier,"(2, 3, 6)"
upperarm_acc_max,0.0,AdaBoostClassifier,"(2, 3, 6)"
upperarm_acc_perc25,0.0,AdaBoostClassifier,"(2, 3, 6)"
upperarm_jerk_std,0.0,AdaBoostClassifier,"(2, 3, 6)"
upperarm_jerk_mean,0.0,AdaBoostClassifier,"(2, 3, 6)"
wrist_acc_length,0.0,AdaBoostClassifier,"(2, 3, 6)"
trunk_jerk_med,0.0,AdaBoostClassifier,"(2, 3, 6)"
wrist_jerk_perc25,0.0,AdaBoostClassifier,"(2, 3, 6)"
wrist_acc_rms,0.0,AdaBoostClassifier,"(2, 3, 6)"
wrist_acc_mad,0.0,AdaBoostClassifier,"(2, 3, 6)"
wrist_acc_perc25,0.0,AdaBoostClassifier,"(2, 3, 6)"
wrist_jerk_mean,0.0,AdaBoostClassifier,"(2, 3, 6)"
wrist_jerk_std,0.0,AdaBoostClassifier,"(2, 3, 6)"
wrist_jerk_min,0.0,AdaBoostClassifier,"(2, 3, 6)"
wrist_jerk_med,0.0,AdaBoostClassifier,"(2, 3, 6)"
wrist_jerk_perc75,0.0,AdaBoostClassifier,"(2, 3, 6)"
trunk_jerk_std,0.0,AdaBoostClassifier,"(2, 3, 6)"
trunk_acc_mean,0.0,AdaBoostClassifier,"(2, 3, 6)"
trunk_acc_rms,0.0,AdaBoostClassifier,"(2, 3, 6)"
trunk_acc_std,0.0,AdaBoostClassifier,"(2, 3, 6)"
trunk_acc_med,0.0,AdaBoostClassifier,"(2, 3, 6)"
trunk_acc_perc25,0.0,AdaBoostClassifier,"(2, 3, 6)"
trunk_jerk_mean,0.0,AdaBoostClassifier,"(2, 3, 6)"
trunk_jerk_mad,0.0,AdaBoostClassifier,"(2, 3, 6)"
trunk_acc_perc75,0.0,AdaBoostClassifier,"(2, 3, 6)"
error,0.0,KNeighborsClassifier,"(2, 3, 6)"
upperarm_acc_med,0.036792051383267105,RandomForestClassifier,"(2, 3, 6)"
wrist_jerk_mad,0.03580308168315312,RandomForestClassifier,"(2, 3, 6)"
wrist_acc_max,0.03462701217593348,RandomForestClassifier,"(2, 3, 6)"
upperarm_acc_perc25,0.0310659479477658,RandomForestClassifier,"(2, 3, 6)"
wrist_jerk_std,0.029890056975529412,RandomForestClassifier,"(2, 3, 6)"
upperarm_acc_mean,0.027656793089940936,RandomForestClassifier,"(2, 3, 6)"
trunk_acc_min,0.02609206596649472,RandomForestClassifier,"(2, 3, 6)"
wrist_jerk_rms,0.025776577737437075,RandomForestClassifier,"(2, 3, 6)"
wrist_acc_min,0.02544575452932855,RandomForestClassifier,"(2, 3, 6)"
trunk_jerk_min,0.025310603255565344,RandomForestClassifier,"(2, 3, 6)"
upperarm_acc_max,0.02503626692195801,RandomForestClassifier,"(2, 3, 6)"
wrist_jerk_max,0.022928986321978595,RandomForestClassifier,"(2, 3, 6)"
wrist_acc_std,0.02254092869866144,RandomForestClassifier,"(2, 3, 6)"
wrist_acc_med,0.021664707023506997,RandomForestClassifier,"(2, 3, 6)"
trunk_acc_max,0.02155809906825144,RandomForestClassifier,"(2, 3, 6)"
wrist_acc_perc25,0.020990302665935143,RandomForestClassifier,"(2, 3, 6)"
wrist_acc_rms,0.020571393147885208,RandomForestClassifier,"(2, 3, 6)"
upperarm_acc_min,0.020210922925238153,RandomForestClassifier,"(2, 3, 6)"
trunk_jerk_perc75,0.0201863385793788,RandomForestClassifier,"(2, 3, 6)"
upperarm_acc_rms,0.019777863704053173,RandomForestClassifier,"(2, 3, 6)"
wrist_acc_mean,0.019609675988556983,RandomForestClassifier,"(2, 3, 6)"
upperarm_jerk_max,0.01901778978757032,RandomForestClassifier,"(2, 3, 6)"
upperarm_jerk_rms,0.018975802604473176,RandomForestClassifier,"(2, 3, 6)"
trunk_acc_perc75,0.018398159702048226,RandomForestClassifier,"(2, 3, 6)"
trunk_acc_perc25,0.01816905346980635,RandomForestClassifier,"(2, 3, 6)"
wrist_acc_perc75,0.017945130917448565,RandomForestClassifier,"(2, 3, 6)"
trunk_acc_rms,0.01773105125810113,RandomForestClassifier,"(2, 3, 6)"
upperarm_jerk_perc75,0.016764848243513195,RandomForestClassifier,"(2, 3, 6)"
trunk_jerk_med,0.016670104113729045,RandomForestClassifier,"(2, 3, 6)"
wrist_acc_mad,0.0163606148861116,RandomForestClassifier,"(2, 3, 6)"
wrist_acc_length,0.016025789958483926,RandomForestClassifier,"(2, 3, 6)"
wrist_jerk_perc75,0.01562536663057623,RandomForestClassifier,"(2, 3, 6)"
trunk_acc_std,0.015590635168446474,RandomForestClassifier,"(2, 3, 6)"
wrist_jerk_perc25,0.015085731349354778,RandomForestClassifier,"(2, 3, 6)"
trunk_jerk_mad,0.014492791438949475,RandomForestClassifier,"(2, 3, 6)"
trunk_acc_mean,0.014393071200172209,RandomForestClassifier,"(2, 3, 6)"
trunk_acc_med,0.014302299045473836,RandomForestClassifier,"(2, 3, 6)"
trunk_jerk_std,0.014245308385593283,RandomForestClassifier,"(2, 3, 6)"
wrist_jerk_min,0.014135038503820295,RandomForestClassifier,"(2, 3, 6)"
trunk_jerk_max,0.013562572679330281,RandomForestClassifier,"(2, 3, 6)"
upperarm_jerk_mad,0.013300028583902852,RandomForestClassifier,"(2, 3, 6)"
upperarm_jerk_min,0.013184665679853836,RandomForestClassifier,"(2, 3, 6)"
upperarm_jerk_med,0.01269622802232092,RandomForestClassifier,"(2, 3, 6)"
upperarm_jerk_mean,0.01263314001714588,RandomForestClassifier,"(2, 3, 6)"
upperarm_acc_mad,0.012422781564249627,RandomForestClassifier,"(2, 3, 6)"
upperarm_acc_perc75,0.011836685160488344,RandomForestClassifier,"(2, 3, 6)"
trunk_acc_mad,0.010742625486094845,RandomForestClassifier,"(2, 3, 6)"
upperarm_jerk_std,0.01061112006314255,RandomForestClassifier,"(2, 3, 6)"
upperarm_jerk_perc25,0.010398148388207492,RandomForestClassifier,"(2, 3, 6)"
trunk_jerk_mean,0.00999154847929668,RandomForestClassifier,"(2, 3, 6)"
upperarm_acc_std,0.009345717807607515,RandomForestClassifier,"(2, 3, 6)"
trunk_jerk_rms,0.008908985526573652,RandomForestClassifier,"(2, 3, 6)"
trunk_jerk_perc25,0.008842788977992013,RandomForestClassifier,"(2, 3, 6)"
wrist_jerk_mean,0.007636699628219833,RandomForestClassifier,"(2, 3, 6)"
wrist_jerk_med,0.00642224748208187,RandomForestClassifier,"(2, 3, 6)"
error,0.0,LogisticRegression,"(2, 3, 6)"
wrist_acc_max,0.10602102032535972,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_acc_perc25,0.06742980934985336,GradientBoostingClassifier,"(2, 3, 6)"
wrist_acc_min,0.06039527108178386,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_acc_med,0.060031255316512454,GradientBoostingClassifier,"(2, 3, 6)"
trunk_acc_max,0.0574521597517073,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_jerk_perc75,0.054825463277532106,GradientBoostingClassifier,"(2, 3, 6)"
trunk_jerk_max,0.053032419048342154,GradientBoostingClassifier,"(2, 3, 6)"
wrist_jerk_mad,0.050579791065980186,GradientBoostingClassifier,"(2, 3, 6)"
wrist_acc_med,0.048274588556044676,GradientBoostingClassifier,"(2, 3, 6)"
trunk_acc_std,0.042314617972063685,GradientBoostingClassifier,"(2, 3, 6)"
trunk_jerk_min,0.034003003239857776,GradientBoostingClassifier,"(2, 3, 6)"
wrist_acc_length,0.0270924157877685,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_acc_perc75,0.024379822729634973,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_jerk_max,0.023936722404563175,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_jerk_std,0.02169761355068572,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_acc_rms,0.02112834221573611,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_jerk_rms,0.021090247574751916,GradientBoostingClassifier,"(2, 3, 6)"
wrist_acc_perc75,0.018351991586647038,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_jerk_mean,0.018219556511937053,GradientBoostingClassifier,"(2, 3, 6)"
trunk_jerk_perc75,0.018052553434453344,GradientBoostingClassifier,"(2, 3, 6)"
trunk_jerk_perc25,0.015679085953198984,GradientBoostingClassifier,"(2, 3, 6)"
trunk_acc_mad,0.015173603571833904,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_acc_mad,0.014978960643210072,GradientBoostingClassifier,"(2, 3, 6)"
trunk_acc_perc25,0.013425009522654458,GradientBoostingClassifier,"(2, 3, 6)"
wrist_acc_mean,0.013364626879075511,GradientBoostingClassifier,"(2, 3, 6)"
wrist_jerk_rms,0.011494170813382458,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_acc_min,0.010857171537939836,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_jerk_min,0.007347549299251827,GradientBoostingClassifier,"(2, 3, 6)"
wrist_jerk_min,0.006284401246367004,GradientBoostingClassifier,"(2, 3, 6)"
trunk_jerk_std,0.006062358705867402,GradientBoostingClassifier,"(2, 3, 6)"
trunk_acc_min,0.005855998517584535,GradientBoostingClassifier,"(2, 3, 6)"
trunk_jerk_mad,0.005247776663288563,GradientBoostingClassifier,"(2, 3, 6)"
wrist_acc_rms,0.004995651366239486,GradientBoostingClassifier,"(2, 3, 6)"
wrist_jerk_max,0.004579289285562778,GradientBoostingClassifier,"(2, 3, 6)"
trunk_jerk_med,0.004191418964900551,GradientBoostingClassifier,"(2, 3, 6)"
wrist_acc_perc25,0.004190885858452088,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_acc_mean,0.0040396975375436815,GradientBoostingClassifier,"(2, 3, 6)"
trunk_acc_perc75,0.0036884992810943427,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_acc_max,0.0035308993183389404,GradientBoostingClassifier,"(2, 3, 6)"
wrist_jerk_std,0.0029484596948488847,GradientBoostingClassifier,"(2, 3, 6)"
trunk_acc_rms,0.0026245393119648944,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_jerk_med,0.0024916398244161746,GradientBoostingClassifier,"(2, 3, 6)"
trunk_acc_mean,0.0024581315457985744,GradientBoostingClassifier,"(2, 3, 6)"
wrist_acc_std,0.002327124039109137,GradientBoostingClassifier,"(2, 3, 6)"
wrist_acc_mad,0.001358569082187849,GradientBoostingClassifier,"(2, 3, 6)"
wrist_jerk_perc25,0.0007217046468153761,GradientBoostingClassifier,"(2, 3, 6)"
wrist_jerk_perc75,0.0006653524259446349,GradientBoostingClassifier,"(2, 3, 6)"
trunk_acc_med,0.000314699128719219,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_acc_std,0.00030688642359350297,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_jerk_perc25,0.00025845445792950056,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_jerk_mad,0.0001718572331310128,GradientBoostingClassifier,"(2, 3, 6)"
wrist_jerk_mean,2.2441244830719667e-05,GradientBoostingClassifier,"(2, 3, 6)"
wrist_jerk_med,2.034358745984124e-05,GradientBoostingClassifier,"(2, 3, 6)"
trunk_jerk_mean,9.406195600933584e-06,GradientBoostingClassifier,"(2, 3, 6)"
trunk_jerk_rms,4.671410648307749e-06,GradientBoostingClassifier,"(2, 3, 6)"
upperarm_acc_perc25,0.11496154017162422,DecisionTreeClassifier,"(2, 3, 6)"
wrist_acc_max,0.10634944255479974,DecisionTreeClassifier,"(2, 3, 6)"
trunk_acc_mad,0.09080545380545378,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_acc_med,0.0868720238095237,DecisionTreeClassifier,"(2, 3, 6)"
wrist_acc_perc25,0.07970334335284492,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_acc_std,0.06679894179894182,DecisionTreeClassifier,"(2, 3, 6)"
wrist_acc_length,0.06587283840190827,DecisionTreeClassifier,"(2, 3, 6)"
wrist_jerk_rms,0.06011904761904774,DecisionTreeClassifier,"(2, 3, 6)"
wrist_jerk_perc75,0.05725623582766442,DecisionTreeClassifier,"(2, 3, 6)"
trunk_jerk_med,0.05605505605505607,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_acc_max,0.05223630536130534,DecisionTreeClassifier,"(2, 3, 6)"
trunk_acc_min,0.04508928571428572,DecisionTreeClassifier,"(2, 3, 6)"
trunk_acc_max,0.03772175536881421,DecisionTreeClassifier,"(2, 3, 6)"
trunk_acc_std,0.030059523809523814,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_acc_rms,0.030059523809523814,DecisionTreeClassifier,"(2, 3, 6)"
wrist_acc_mean,0.020039682539682545,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_jerk_rms,0.0,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_jerk_perc25,0.0,DecisionTreeClassifier,"(2, 3, 6)"
trunk_jerk_perc25,0.0,DecisionTreeClassifier,"(2, 3, 6)"
trunk_jerk_perc75,0.0,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_acc_mean,0.0,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_jerk_med,0.0,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_jerk_mean,0.0,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_acc_mad,0.0,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_jerk_max,0.0,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_jerk_min,0.0,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_acc_min,0.0,DecisionTreeClassifier,"(2, 3, 6)"
trunk_jerk_min,0.0,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_jerk_std,0.0,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_jerk_mad,0.0,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_acc_perc75,0.0,DecisionTreeClassifier,"(2, 3, 6)"
trunk_jerk_max,0.0,DecisionTreeClassifier,"(2, 3, 6)"
trunk_acc_perc75,0.0,DecisionTreeClassifier,"(2, 3, 6)"
trunk_jerk_std,0.0,DecisionTreeClassifier,"(2, 3, 6)"
trunk_jerk_mad,0.0,DecisionTreeClassifier,"(2, 3, 6)"
wrist_acc_rms,0.0,DecisionTreeClassifier,"(2, 3, 6)"
wrist_acc_mad,0.0,DecisionTreeClassifier,"(2, 3, 6)"
wrist_acc_std,0.0,DecisionTreeClassifier,"(2, 3, 6)"
wrist_acc_min,0.0,DecisionTreeClassifier,"(2, 3, 6)"
wrist_acc_med,0.0,DecisionTreeClassifier,"(2, 3, 6)"
wrist_acc_perc75,0.0,DecisionTreeClassifier,"(2, 3, 6)"
wrist_jerk_mean,0.0,DecisionTreeClassifier,"(2, 3, 6)"
wrist_jerk_mad,0.0,DecisionTreeClassifier,"(2, 3, 6)"
wrist_jerk_std,0.0,DecisionTreeClassifier,"(2, 3, 6)"
wrist_jerk_min,0.0,DecisionTreeClassifier,"(2, 3, 6)"
wrist_jerk_max,0.0,DecisionTreeClassifier,"(2, 3, 6)"
wrist_jerk_med,0.0,DecisionTreeClassifier,"(2, 3, 6)"
wrist_jerk_perc25,0.0,DecisionTreeClassifier,"(2, 3, 6)"
trunk_acc_mean,0.0,DecisionTreeClassifier,"(2, 3, 6)"
trunk_acc_rms,0.0,DecisionTreeClassifier,"(2, 3, 6)"
trunk_acc_med,0.0,DecisionTreeClassifier,"(2, 3, 6)"
trunk_acc_perc25,0.0,DecisionTreeClassifier,"(2, 3, 6)"
trunk_jerk_mean,0.0,DecisionTreeClassifier,"(2, 3, 6)"
trunk_jerk_rms,0.0,DecisionTreeClassifier,"(2, 3, 6)"
upperarm_jerk_perc75,0.0,DecisionTreeClassifier,"(2, 3, 6)"
error,0.0,RidgeClassifier,"(2, 3, 6)"
error,0.0,QuadraticDiscriminantAnalysis,"(2, 3, 6)"
error,0.0,DummyClassifier,"(2, 3, 6)"
error,0.0,GaussianNB,"(2, 3, 6)"
trunk_jerk_min,24.0,LGBMClassifier,"(2, 3, 6)"
wrist_acc_max,22.0,LGBMClassifier,"(2, 3, 6)"
wrist_jerk_mad,21.0,LGBMClassifier,"(2, 3, 6)"
upperarm_acc_min,19.0,LGBMClassifier,"(2, 3, 6)"
upperarm_acc_mean,18.0,LGBMClassifier,"(2, 3, 6)"
wrist_acc_std,15.0,LGBMClassifier,"(2, 3, 6)"
wrist_acc_min,15.0,LGBMClassifier,"(2, 3, 6)"
wrist_acc_length,14.0,LGBMClassifier,"(2, 3, 6)"
wrist_acc_med,12.0,LGBMClassifier,"(2, 3, 6)"
trunk_acc_min,11.0,LGBMClassifier,"(2, 3, 6)"
upperarm_acc_med,10.0,LGBMClassifier,"(2, 3, 6)"
trunk_acc_max,10.0,LGBMClassifier,"(2, 3, 6)"
trunk_jerk_perc25,9.0,LGBMClassifier,"(2, 3, 6)"
trunk_acc_mean,8.0,LGBMClassifier,"(2, 3, 6)"
upperarm_jerk_perc75,8.0,LGBMClassifier,"(2, 3, 6)"
upperarm_jerk_rms,7.0,LGBMClassifier,"(2, 3, 6)"
trunk_acc_std,7.0,LGBMClassifier,"(2, 3, 6)"
upperarm_jerk_min,6.0,LGBMClassifier,"(2, 3, 6)"
upperarm_acc_perc25,6.0,LGBMClassifier,"(2, 3, 6)"
trunk_acc_mad,5.0,LGBMClassifier,"(2, 3, 6)"
wrist_acc_perc75,4.0,LGBMClassifier,"(2, 3, 6)"
trunk_acc_med,4.0,LGBMClassifier,"(2, 3, 6)"
upperarm_acc_rms,4.0,LGBMClassifier,"(2, 3, 6)"
trunk_jerk_perc75,4.0,LGBMClassifier,"(2, 3, 6)"
trunk_acc_perc75,4.0,LGBMClassifier,"(2, 3, 6)"
upperarm_jerk_max,3.0,LGBMClassifier,"(2, 3, 6)"
upperarm_jerk_std,3.0,LGBMClassifier,"(2, 3, 6)"
upperarm_jerk_mad,3.0,LGBMClassifier,"(2, 3, 6)"
wrist_jerk_std,3.0,LGBMClassifier,"(2, 3, 6)"
wrist_jerk_rms,2.0,LGBMClassifier,"(2, 3, 6)"
wrist_jerk_min,2.0,LGBMClassifier,"(2, 3, 6)"
upperarm_acc_max,2.0,LGBMClassifier,"(2, 3, 6)"
wrist_jerk_med,2.0,LGBMClassifier,"(2, 3, 6)"
trunk_acc_perc25,2.0,LGBMClassifier,"(2, 3, 6)"
upperarm_acc_mad,1.0,LGBMClassifier,"(2, 3, 6)"
wrist_jerk_perc75,1.0,LGBMClassifier,"(2, 3, 6)"
upperarm_acc_perc75,1.0,LGBMClassifier,"(2, 3, 6)"
wrist_acc_mad,1.0,LGBMClassifier,"(2, 3, 6)"
upperarm_acc_std,1.0,LGBMClassifier,"(2, 3, 6)"
trunk_jerk_std,1.0,LGBMClassifier,"(2, 3, 6)"
wrist_acc_mean,1.0,LGBMClassifier,"(2, 3, 6)"
wrist_jerk_max,1.0,LGBMClassifier,"(2, 3, 6)"
trunk_acc_rms,0.0,LGBMClassifier,"(2, 3, 6)"
wrist_acc_perc25,0.0,LGBMClassifier,"(2, 3, 6)"
trunk_jerk_med,0.0,LGBMClassifier,"(2, 3, 6)"
trunk_jerk_max,0.0,LGBMClassifier,"(2, 3, 6)"
wrist_acc_rms,0.0,LGBMClassifier,"(2, 3, 6)"
wrist_jerk_mean,0.0,LGBMClassifier,"(2, 3, 6)"
upperarm_jerk_mean,0.0,LGBMClassifier,"(2, 3, 6)"
trunk_jerk_mad,0.0,LGBMClassifier,"(2, 3, 6)"
trunk_jerk_rms,0.0,LGBMClassifier,"(2, 3, 6)"
trunk_jerk_mean,0.0,LGBMClassifier,"(2, 3, 6)"
wrist_jerk_perc25,0.0,LGBMClassifier,"(2, 3, 6)"
upperarm_jerk_med,0.0,LGBMClassifier,"(2, 3, 6)"
upperarm_jerk_perc25,0.0,LGBMClassifier,"(2, 3, 6)"
error,0.0,SGDClassifier,"(2, 3, 6)"
wrist_acc_max,0.031786474016486016,ExtraTreesClassifier,"(2, 3, 9)"
wrist_acc_rms,0.03178265487175968,ExtraTreesClassifier,"(2, 3, 9)"
upperarm_acc_mean,0.030406237068270753,ExtraTreesClassifier,"(2, 3, 9)"
wrist_jerk_max,0.027513887330233824,ExtraTreesClassifier,"(2, 3, 9)"
wrist_jerk_mad,0.02648751140648516,ExtraTreesClassifier,"(2, 3, 9)"
wrist_acc_mean,0.026251110345210323,ExtraTreesClassifier,"(2, 3, 9)"
wrist_jerk_rms,0.025339590782154715,ExtraTreesClassifier,"(2, 3, 9)"
wrist_jerk_std,0.022951093460023525,ExtraTreesClassifier,"(2, 3, 9)"
upperarm_acc_rms,0.022493590009679258,ExtraTreesClassifier,"(2, 3, 9)"
